File downloaded from CFTI5Med
E. Guidoboni, G. Ferrari, D. Mariotti, A. Comastri, G. Tarabusi, G. Sgattoni, G. Valensise (2018) - CFTI5Med, Catalogo dei Forti Terremoti in Italia (461 a.C.-1997) e nell’area Mediterranea (760 a.C.-1500). Istituto Nazionale di Geofisica e Vulcanologia (INGV). http://storing.ingv.it/cfti/cfti5/

Date;Time;Io (Epicentral intensity - MCS scale);Imax (Maximum intensity - MCS scale);NMO (Number of Macroseismic Observations);Me (Equivalent magnitude based on macroseismic observations);Latitude;Longitude;Epicentral Area;Notes;Review Level
1065 03 27;11:25;7;8;6;5.1;45.545;10.214;Brescia;;MEDIUM
1087 09 10;-;8;9;2;5.6;41.250;16.000;Puglia;;HIGH
1117 01 03;15:15;9;9;55;6.8;45.367;11.167;Veronese;;HIGH
1120 03 25;-;8.5;8.5;4;5.8;41.378;13.917;Rocca d’Evandro;;MEDIUM
1125 10 11;-;8;9;4;5.6;41.600;14.997;Sannio-Molise;;LOW
1125 06 07;11:00;8.5;8.5;1;5.8;37.083;15.285;Siracusa;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1160 10 15;-;7;8;2;5.2;41.926;13.095;Subiaco (RM);;LOW
1161 01 16;06:00;7;7;1;5.1;41.569;13.334;Ceccano (FR);S (epicentral parameters based on a single intensity datapoint);LOW
1169 02 04;07:00;10;10;8;6.4;37.215;14.949;Sicilia orientale;;HIGH
1170 05 09;-;8;8;1;5.6;41.569;13.334;Ceccano (FR);S (epicentral parameters based on a single intensity datapoint);MEDIUM
1184 05 24;-;9;9;6;6.7;39.395;16.193;Valle del Crati;;HIGH
1222 12 25;12:30;8;9;18;6;45.481;10.232;Basso bresciano;;HIGH
1231 06 01;11:00;7;8;3;5.1;41.489;13.830;Cassino;;HIGH
1249 09 -;16:30;6.5;7.5;4;4.9;44.648;10.925;Modena;;MEDIUM
1269 09 -;-;8;8;2;5.6;43.558;13.564;Ancona;;MEDIUM
1268 11 04;-;7.5;8;4;5.4;45.736;12.079;Trevigiano;;LOW
1273 12 18;-;8.5;8.5;1;5.8;40.639;15.805;Potenza;S (epicentral parameters based on a single intensity datapoint);LOW
1276 05 22;-;8;8.5;2;5.6;42.721;12.091;Orvietano;;LOW
1279 05 01;02:00;8;8.5;5;5.9;44.029;11.780;Appennino romagnolo;;HIGH
1279 04 30;14:00;9;9;16;6.5;43.105;12.933;Appennino umbro-marchigiano;;HIGH
1284 01 17;15:30;6;7;2;4.7;45.438;12.335;Venezia;;LOW
1293 03 -;-;8;8;3;5.6;43.933;10.913;Pistoia;S (epicentral parameters based on a single intensity datapoint);LOW
1293 09 04;-;8.5;9;6;5.8;41.305;14.548;Sannio;;MEDIUM
1298 12 01;-;9.5;10;5;6.2;42.574;12.906;Reatino;;MEDIUM
1308 01 25;17:15;7.5;7.5;4;5.4;44.060;12.567;Rimini;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1315 12 03;-;8.5;9.5;13;5.8;42.320;13.464;Castelli dell’Aquilano;;HIGH
1328 12 04;06:15;10;10;13;6.4;42.855;13.022;Valnerina;;HIGH
1329 06 28;22:00;6.5;7.5;2;4.9;37.750;15.000;Area etnea;;LOW
1334 12 04;-;6.5;6.5;4;4.9;45.439;10.994;Verona;S (epicentral parameters based on a single intensity datapoint);HIGH
1345 09 12;-;6;6;2;4.7;43.778;11.249;Firenze;S (epicentral parameters based on a single intensity datapoint);MEDIUM
1346 02 22;19:00;6.5;7.5;5;4.9;44.836;11.618;Ferrara;;HIGH
1348 01 25;15:30;9.5;9.5;58;7.1;46.580;13.541;Carinzia;;MEDIUM
