Date,Epicentral Area,Magnitude,Latitude,Longitude
-0002-01-01,Napoli,5.4,40.856,14.26
-0056-01-01,Potentia (MC),5.8,43.433,13.665
-0063-01-01,Spoleto (PG),5.6,42.733,12.736
-0072-01-01,Roma,5.4,41.896,12.482
-0076-01-01,Rieti,6.4,42.405,12.867
-0083-01-01,Roma,5.4,41.896,12.482
-0091-01-01,Reggio Calabria?,5.8,38.109,15.647
-0091-01-01,Modena-Reggio Emilia,5.6,44.648,10.784
-0099-01-01,Norcia (PG),5.6,42.793,13.094
-0100-01-01,Picenum,5.8,43.167,13.5
-0174-01-01,Sabina,6.4,42.25,12.667
-0217-06-01,Etruria,6.4,43.25,11.25
-0400-01-01,Selinunte (TP),5.4,37.584,12.825
-0436-01-01,Italia centrale,5.4,43.0,12.5
0015-01-01,Roma,5.4,41.896,12.482
0017-01-01,Reggio Calabria-Sicilia,5.4,37.804,15.199
0037-03-16,Capri (NA),5.1,40.55,14.243
0051-01-01,Roma,5.6,41.896,12.482
0062-02-05,Pompei (NA),5.8,40.778,14.417
0079-08-25,Area vesuviana,6.0,40.795,14.389
0099-01-01,Circello (BN),6.2,41.358,14.808
0101-01-01,San Valentino in Abruzzo (PE),6.2,42.233,13.987
0346-01-01,Sannio,7.0,41.387,14.427
0361-01-01,Stretto di Messina,6.4,38.148,15.598
0365-07-21,Creta-Gortyna,6.6,35.062,24.944
0375-01-01,Benevento,5.6,41.13,14.777
0443-01-01,Roma,5.6,41.896,12.482
0484-01-01,Roma,5.4,41.896,12.482
0701-01-01,Selinunte (TP),5.8,37.584,12.825
0725-01-01,Classe (RA)-Ravenna,5.6,44.399,12.216
0778-01-01,Treviso,5.8,45.67,12.244
0801-04-29,Roma,5.4,41.896,12.482
0847-06-01,Sannio,5.6,41.623,14.159
0853-08-31,Messina,5.4,38.188,15.549
0951-01-01,Rossano (CS),6.0,39.574,16.635
0989-10-25,Irpinia,6.9,41.007,15.173
1046-11-09,Media valle dell’Adige,6.0,45.834,11.066
1065-03-27,Brescia,5.1,45.545,10.214
1087-09-10,Puglia,5.6,41.25,16.0
1091-01-27,Roma,5.1,41.896,12.482
1117-01-03,Veronese,6.8,45.367,11.167
1117-01-03,Toscana settentrionale,5.3,44.089,10.452
1120-03-25,Rocca d’Evandro,5.8,41.378,13.917
1125-06-07,Siracusa,5.8,37.083,15.285
1125-10-11,Sannio-Molise,5.6,41.6,14.997
1160-10-15,Subiaco (RM),5.2,41.926,13.095
1161-01-16,Ceccano (FR),5.1,41.569,13.334
1169-02-04,Sicilia orientale,6.4,37.215,14.949
1170-05-09,Ceccano (FR),5.6,41.569,13.334
1172-09-26,Messina,5.6,38.188,15.549
1184-05-24,Valle del Crati,6.7,39.395,16.193
1209-01-01,Appennino abruzzese,6.0,42.167,13.875
1222-12-25,Basso bresciano,6.0,45.481,10.232
1231-06-01,Cassino,5.1,41.489,13.83
1258-02-19,Barrea (AQ),5.6,41.757,13.992
1268-11-04,Trevigiano,5.4,45.736,12.079
1269-09-01,Ancona,5.6,43.558,13.564
1270-01-01,Sansepolcro (AR),5.6,43.571,12.141
1273-12-18,Potenza,5.8,40.639,15.805
1275-11-02,Isola d’Ischia,5.8,40.726,13.911
1276-05-22,Orvietano,5.6,42.721,12.091
1279-04-30,Appennino umbro-marchigiano,6.5,43.105,12.933
1279-05-01,Appennino romagnolo,5.9,44.029,11.78
1280-01-01,Napoli,5.0,40.856,14.26
1293-03-01,Pistoia,5.6,43.933,10.913
1293-09-04,Sannio,5.8,41.305,14.548
1295-09-01,Sicilia,5.8,37.5,14.0
1298-12-01,Reatino,6.2,42.574,12.906
1303-08-01,Medio Adriatico,5.6,43.768,14.025
1304-10-23,Pianura Padana,5.1,45.011,10.148
1308-01-25,Rimini,5.4,44.06,12.567
1315-12-03,Castelli dell’Aquilano,5.8,42.32,13.464
1328-12-04,Valnerina,6.4,42.855,13.022
1348-01-25,Carinzia,7.1,46.58,13.541
1348-09-13,Subiaco (RM),5.6,41.926,13.095
1349-09-09,Lazio meridionale-Molise,6.8,41.582,13.907
1349-09-09,Aquilano,6.1,42.271,13.132
1349-09-09,Viterbese-Umbria,6.4,42.512,11.932
1349-09-09,Abruzzo,6.0,42.022,13.97
1352-01-25,Catania,5.4,37.502,15.087
1352-12-25,Sansepolcro (AR),5.8,43.489,12.147
1353-01-01,Sansepolcro (AR),5.6,43.571,12.141
1353-04-22,Melfi (PZ),6.0,40.994,15.653
1361-07-17,Ascoli Satriano (FG),6.0,41.206,15.561
1365-07-25,Bologna,5.4,44.499,11.34
1367-01-01,Sant’Elia Fiumerapido (FR),5.1,41.541,13.866
1377-11-14,Tropea (VV),5.4,38.675,15.899
1386-03-17,Napoli,5.4,40.856,14.26
1389-10-18,Appennino umbro-marchigiano,6.1,43.536,12.359
1396-11-26,Monza,5.4,45.585,9.274
1399-07-20,Modenese,5.1,44.443,10.924
1403-09-06,Cividale del Friuli (UD),5.6,46.094,13.431
1409-11-15,Parma,5.1,44.801,10.328
1411-01-09,Ferrara,5.1,44.836,11.618
1414-01-01,Vieste (FG),5.8,41.883,16.18
1414-08-03,Toscana settentrionale,5.2,43.933,10.61
1414-08-07,Colline Metallifere,5.6,43.272,11.118
1438-02-02,Grottaferrata (RM),5.4,41.787,12.677
1438-06-11,Parmense,5.6,44.844,10.238
1453-09-28,Firenze,5.3,43.785,11.284
1455-02-06,Media valle del Reno,5.6,44.334,11.183
1456-12-05,Italia centro-meridionale,6.3,42.194,13.91
1456-12-05,Area di Isernia,7.1,41.533,14.508
1456-12-05,Sannio-Irpinia,7.1,41.184,14.874
1456-12-05,Puglia,6.3,41.09,15.662
1458-04-26,Val Tiberina,5.8,43.464,12.236
1461-11-27,Aquilano,6.4,42.314,13.543
1466-01-15,Irpinia,6.1,40.766,15.334
1480-01-01,Marche meridionali,5.4,42.902,13.8
1481-05-07,Garfagnana,5.6,44.275,10.129
1483-08-11,Romagna meridionale,5.7,44.156,12.229
1491-01-24,Padova,5.0,45.407,11.876
1494-05-29,Messina,5.4,38.188,15.549
1497-03-03,Lunigiana,5.8,44.251,9.916
1501-06-05,Appennino modenese,6.0,44.52,10.844
1504-11-01,Bibbiena (AR),5.1,43.697,11.816
1504-12-31,Bolognese,5.3,45.047,11.457
1505-01-03,Bolognese,5.6,44.509,11.23
1509-02-25,Calabria meridionale,5.6,38.1,15.684
1509-04-19,Faentino,5.0,44.324,11.865
1511-03-26,Slovenia,7.0,46.198,13.431
1511-03-28,Slovenia,5.0,45.501,11.924
1511-08-08,Slovenia,6.0,46.054,13.725
1517-03-29,Irpinia,5.4,41.012,15.21
1527-10-04,Pistoia,5.4,43.933,10.913
1536-08-17,Appennino tosco-emiliano?,5.3,44.365,10.933
1542-06-13,Mugello,5.9,44.007,11.384
1542-12-10,Siracusano,6.8,37.234,15.014
1545-06-09,Valle del Taro,5.3,44.474,9.825
1547-02-10,Reggio Emilia,5.1,44.698,10.631
1558-02-09,Alta Valtiberina,5.1,43.514,12.19
1559-04-11,Alta Valtiberina,5.1,43.621,12.091
1560-05-11,Barletta-Bisceglie,5.6,41.249,16.485
1561-07-31,Buccino (SA),5.6,40.633,15.376
1561-08-19,Vallo di Diano,6.5,40.514,15.492
1564-07-20,Alpi Marittime,6.0,44.03,7.27
1570-11-17,Ferrara,5.5,44.824,11.631
1584-09-10,Appennino tosco-emiliano,5.8,43.863,11.992
1597-08-03,Mugello,5.2,43.988,11.429
1599-11-06,Valnerina,6.0,42.725,13.021
1611-09-08,Scarperia (FI),5.1,44.011,11.359
1613-08-25,Naso (ME),5.6,38.123,14.788
1622-05-05,Slovenia,5.4,46.181,14.658
1624-03-19,Argenta (FE),5.5,44.643,11.848
1624-10-03,Mineo (CT),5.6,37.27,14.742
1626-04-04,Girifalco (CZ),6.0,38.852,16.456
1627-07-30,Gargano,6.8,41.738,15.342
1627-07-30,San Severo (FG),5.8,41.686,15.381
1627-08-07,Gargano,6.0,41.759,15.328
1627-09-06,Gargano,5.8,41.597,15.358
1631-02-25,Annifo (PG),5.1,43.055,12.857
1633-02-21,Nicolosi (CT),5.8,37.614,15.026
1638-03-27,Calabria,7.0,39.048,16.288
1638-06-08,Crotonese,6.9,39.279,16.812
1639-10-08,Monti della Laga,6.1,42.639,13.269
1639-10-15,Monti della Laga,6.2,42.652,13.247
1642-06-13,Cremonese,5.4,45.279,9.927
1644-02-15,Alpi Marittime,6.0,43.993,7.317
1646-05-31,Gargano,6.3,41.874,15.938
1654-07-24,Sorano-Marsica,6.3,41.635,13.683
1659-11-05,Calabria centrale,6.6,38.696,16.25
1661-03-12,Bergamasco,5.1,45.655,9.982
1661-03-22,Appennino romagnolo,6.1,44.022,11.898
1669-03-10,Nicolosi (CT),5.3,37.614,15.026
1671-06-20,Modena-Reggio Emilia,5.3,44.675,10.866
1672-04-14,Riminese,5.6,43.941,12.575
1688-04-11,Romagna,5.8,44.391,11.942
1688-06-05,Sannio,7.0,41.284,14.561
1690-12-04,Carinzia,6.5,46.635,13.882
1690-12-23,Anconetano,5.4,43.547,13.592
1691-02-19,Slovenia,5.4,46.093,14.447
1693-01-08,Calabria settentrionale,5.6,39.796,16.113
1693-01-09,Val di Noto,6.2,37.141,15.035
1693-01-11,Sicilia orientale,7.4,37.141,15.013
1694-04-08,Alta Valtiberina,5.1,43.621,12.091
1694-09-08,Irpinia-Basilicata,6.8,40.863,15.406
1695-02-25,Asolano,6.5,45.802,11.948
1695-06-11,Lazio settentrionale,6.2,42.625,12.107
1700-07-28,Carnia,5.7,46.41,12.88
1702-03-14,Beneventano-Irpinia,6.5,41.121,14.989
1703-01-14,Appennino umbro-reatino,6.7,42.709,13.07
1703-01-16,Appennino umbro-reatino,6.0,42.623,13.102
1703-02-02,Aquilano,6.7,42.435,13.292
1706-11-03,Maiella,6.8,42.077,14.079
1708-01-26,Pollino,5.5,39.995,16.014
1717-04-22,Castroreale (ME),5.0,38.1,15.211
1719-06-27,Alta Valnerina,5.5,42.877,13.047
1721-06-18,Annifo (PG),5.1,43.055,12.857
1724-12-11,Colline Metallifere,5.4,43.189,10.996
1725-10-29,Appennino tosco-emiliano,5.4,44.207,11.573
1726-09-01,Palermo,5.6,38.121,13.353
1730-05-12,Valnerina,5.9,42.753,13.12
1730-10-23,Gubbio (PG),5.4,43.352,12.577
1731-03-20,Foggiano,6.5,41.274,15.757
1731-03-29,Alta Valtiberina,5.4,43.671,12.041
1732-11-29,Irpinia,6.6,41.064,15.059
1737-03-31,Campania,5.1,40.921,14.66
1739-05-10,Naso (ME),5.1,38.098,14.743
1740-03-06,Garfagnana,5.5,44.075,10.489
1741-04-24,Appennino marchigiano,6.2,43.426,13.005
1741-08-06,Irpinia,5.4,41.03,14.932
1743-01-21,Bagnoregio (VT),5.0,42.615,12.074
1743-02-20,Basso Ionio,6.9,40.246,18.049
1743-10-02,Amantea (CS),5.1,39.132,16.081
1743-12-07,Calabria centrale,5.7,38.695,16.372
