#EventID|Date|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|Epicentral Area|EventType
848119|1997-09-26T00:33:11.750000|43.018|12.913|7.9|BULLETIN-VAX||||ML|5.6|--|7 km SW Serravalle di Chienti (MC)|earthquake
849549|1997-09-26T09:40:24.950000|43.024|12.926|5.5|BULLETIN-VAX||||ML|5.8|--|6 km SW Serravalle di Chienti (MC)|earthquake
873319|1997-10-06T23:24:51.520000|43.01|12.918|3.4|BULLETIN-VAX||||ML|5.4|--|7 km W Monte Cavallo (MC)|earthquake
889969|1997-10-14T15:23:09.050000|42.907|12.969|4.6|BULLETIN-VAX||||ML|5.5|--|4 km NE Sellano (PG)|earthquake
978399|1998-04-12T10:55:32.070000|46.4|13.705|5.0|BULLETIN-VAX||||Md|5.2|--|V3 Tarvisio (ITALIA, AUSTRIA, SLOVENIA)|earthquake
992159|1998-05-18T17:19:01.840000|39.143|15.42|312.0|BULLETIN-VAX||||ML|5.1|--|Tirreno Meridionale (MARE)|earthquake
1025519|1998-09-09T11:28:00.240000|39.979|16.026|7.4|BULLETIN-VAX||||Md|5.0|--|3 km NW Rotonda (PZ)|earthquake
1238569|2001-05-17T11:43:54.850000|38.851|15.735|258.0|BULLETIN-VAX||||ML|5.1|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)|earthquake
1250779|2001-07-01T01:49:08.090000|47.256|15.634|10.0|BULLETIN-VAX||||M|5.0|--|Austria (AUSTRIA)|earthquake
1349199|2002-09-06T01:21:28.570000|38.381|13.701|5.0|BULLETIN-VAX||||ML|5.6|--|Costa Siciliana centro-settentrionale (Palermo)|earthquake
1375969|2002-10-31T10:33:00.180000|41.696|14.928|10.0|BULLETIN-VAX||||ML|5.4|--|1 km SW Bonefro (CB)|earthquake
1378219|2002-11-01T15:09:02.030000|41.719|14.841|10.0|BULLETIN-VAX||||ML|5.3|--|1 km E Provvidenti (CB)|earthquake
1422569|2003-03-29T17:42:15.690000|43.109|15.464|10.0|BULLETIN-VAX||||ML|5.4|--|Adriatico Centrale (MARE)|earthquake
1467579|2003-09-14T21:42:53.180000|44.255|11.38|8.3|BULLETIN-VAX||||Mw|5.2|--|5 km E Loiano (BO)|earthquake
1519729|2004-05-05T13:39:41.800000|38.52|14.901|255.3|BULLETIN-VAX||||ML|5.3|--|Isole Eolie (Messina)|earthquake
1534989|2004-07-12T13:04:06.310000|46.357|13.637|5.0|BULLETIN-VAX||||ML|5.2|--|Confine Italia-Slovenia (SLOVENIA)|earthquake
1608179|2005-07-10T13:10:10.900000|42.279|19.974|12.5|BULLETIN-SISPICK||||ML|5.4|--|Albania [Land]|earthquake
1701219|2006-10-26T14:28:36.580000|38.658|15.495|220.7|BULLETIN-SISPICK||||Mw|5.8|--|Tirreno Meridionale (MARE)|earthquake
1753119|2007-07-04T23:55:32.570000|38.831|15.265|279.3|BULLETIN-SISPICK||||Mw|5.2|--|Isole Eolie (Messina)|earthquake
1868979|2008-12-17T21:57:42.870000|39.168|15.586|269.4|BULLETIN-SISPICK||||ML|5.1|--|Tirreno Meridionale (MARE)|earthquake
1895389|2009-04-06T01:32:40.400000|42.342|13.38|8.3|BULLETIN-SISPICK||||Mw|6.1|--|2 km SW L'Aquila (AQ)|earthquake
1903809|2009-04-06T23:15:36.760000|42.463|13.385|9.7|BULLETIN-SISPICK||||Mw|5.0|--|8 km E Pizzoli (AQ)|earthquake
1908319|2009-04-07T17:47:37.340000|42.303|13.486|17.1|BULLETIN-SISPICK||||Mw|5.4|--|1 km N Fossa (AQ)|earthquake
1916789|2009-04-09T00:52:59.690000|42.489|13.351|11.0|BULLETIN-SISPICK||||Mw|5.2|--|5 km SE Capitignano (AQ)|earthquake
1921649|2009-04-09T19:38:16.960000|42.504|13.35|9.3|BULLETIN-SISPICK||||Mw|5.0|--|4 km E Capitignano (AQ)|earthquake
2280639|2010-11-03T18:13:02.980000|39.983|13.274|505.6|BULLETIN-SISPICK||||ML|5.4|--|Tirreno Meridionale (MARE)|earthquake
772691|2012-05-20T02:03:50.170000|44.8955|11.2635|9.5|BULLETIN-INGV||||Mw|5.8|--|7 km NW Finale Emilia (MO)|earthquake
773011|2012-05-20T02:07:28.950000|44.8737|11.2703|6.1|BULLETIN-INGV||||ML|5.0|--|5 km NW Finale Emilia (MO)|earthquake
774071|2012-05-20T03:02:47.090000|44.8597|11.152|9.1|BULLETIN-INGV||||ML|5.0|--|2 km NE San Felice sul Panaro (MO)|earthquake
841091|2012-05-29T07:00:02.880000|44.8417|11.0657|8.1|REMO-INGV||||Mw|5.6|--|1 km SW Medolla (MO)|earthquake
844031|2012-05-29T08:25:51.480000|44.8647|10.9475|7.9|REMO-INGV||||ML|5.0|--|5 km SE Novi di Modena (MO)|earthquake
847781|2012-05-29T10:55:56.550000|44.8652|10.9795|4.4|REMO-INGV||||Mw|5.3|--|3 km SW San Possidonio (MO)|earthquake
847921|2012-05-29T11:00:01.680000|44.8558|10.941|8.7|REMO-INGV||||ML|5.0|--|5 km SE Novi di Modena (MO)|earthquake
847911|2012-05-29T11:00:22.990000|44.866|10.9763|7.2|BULLETIN-INGV||||ML|5.1|--|3 km SW San Possidonio (MO)|earthquake
1436611|2012-10-25T23:05:24.730000|39.8747|16.0158|9.7|BULLETIN-INGV||||Mw|5.2|--|3 km SE Mormanno (CS)|earthquake
2151711|2013-06-21T10:33:56.980000|44.1308|10.1357|7.0|BULLETIN-INGV||||Mw|5.1|--|7 km NE Carrara (MS)|earthquake
2874261|2013-12-29T17:08:43.230000|41.3952|14.4342|20.4|BULLETIN-INGV||||Mw|5.0|--|5 km E San Gregorio Matese (CE)|earthquake
